temp_mean,temp_max,temp_std,delta_to_neighbors,hotspot_fraction,edge_gradient,ambient_temp,load_factor,fault_label
15.55170264,29.58853018,3.11985807,-2.633300696,0.2350826897,0.8523940027,17.28924868,0.3694572347,0
40.65882608,39.21826127,6.388711845,4.302308691,0.1583931261,1.321425357,38.39756377,0.6851847466,0
26.91984916,32.8734103,3.195176005,3.145530016,0.2425237177,1.199510874,28.15227694,0.3578735795,0
34.78593033,42.71055639,5.513932434,5.85862919,0.1752047213,0.6880363051,36.70395533,0.5000221927,0
62.18844895,71.18808964,5.55052166,5.928670066,0.2331004517,0.5960197929,44.33968536,0.9898997818,1
42.51843232,48.50473433,4.163582584,8.045144109,0.1055391836,1.772155455,31.15487611,0.992028555,1
42.57244227,41.94214512,5.540427546,-7.121159312,0.5203502631,1.704276748,30.03361391,0.7947745444,1
24.74837515,34.722055,4.967174702,5.423444476,0.7905344193,0.3598717006,17.161534,0.6316469808,0
27.03488918,23.42821121,6.511499718,3.202940066,0.3580606966,0.7229316522,23.0531694,0.3041305787,0
30.70694555,25.32505679,2.050455954,2.105436333,0.3152861461,0.8704695517,29.99647502,0.531096565,0
54.19835875,55.01495846,3.715471752,0.8521048626,0.6761387101,0.6203229203,35.37689988,0.4998192321,1
44.17684626,47.96072695,2.982590049,-10.54968784,0.379260215,0.8829997908,39.11217108,0.6894503871,0
37.127373,44.75038483,4.065699623,-5.089815305,0.17159791,0.7364019095,26.42823399,0.6772140597,0
20.47093921,26.50261486,4.902133219,4.694736691,0.04508641574,0.8090124058,16.97809041,0.7880769644,0
25.42453612,33.8017734,4.746242035,4.089801471,0.2237210656,0.4135694958,23.64436798,0.7859063218,0
52.25322214,65.04202678,6.254069772,-2.220492744,0.2095862887,0.9725708428,42.28780583,0.7276138388,1
25.81117616,37.00641106,3.590710805,7.328367391,0.3413256957,0.3752862074,21.40156061,0.7554591969,0
28.97654475,28.54396772,4.487384964,0.4259461177,0.2065728627,0.9875190324,28.56371885,0.3831681467,0
46.70206749,52.54271856,2.818645808,-1.029634053,0.4931314486,0.4005194246,42.93618059,0.3389687863,0
21.28041048,27.66363322,6.396853072,11.87995512,0.3523832122,1.050233599,15.74697683,0.5193738313,0
32.48157451,29.85802108,3.229179273,5.669197739,0.6561813728,0.8539896388,33.01646752,0.7564406959,1
40.77641741,50.21382827,5.28860252,0.7998094643,0.4079571187,0.2065425177,43.50388501,0.3260599845,0
25.38166317,27.07486285,2.132205163,1.318529339,0.5035079797,1.286261907,21.90908637,0.7687084165,0
38.1988075,34.18269472,6.919956336,6.195856591,0.7080895924,1.094059264,31.45469758,0.828270763,1
51.62355728,58.50810551,6.496414876,-3.463177483,0.6765724439,1.563706035,42.27385125,0.8819491253,1
18.73184333,26.28340371,6.60710582,-1.83026041,0.7420239519,0.7175913955,18.99508337,0.7057078732,0
36.52280036,43.82319791,6.78404147,-1.054978787,0.3103670032,0.9175839212,30.70237742,0.651543957,1
38.85997736,50.62002849,6.928641148,-4.496216978,0.2276886095,0.8630303192,37.51229577,0.5586360878,0
44.38951068,44.59625145,2.26632684,-2.791174064,0.683480657,0.9698448526,35.07039723,0.8690899688,0
31.97719001,35.93444126,4.913530202,2.828002371,0.3352592125,0.5013502243,29.03258579,0.8973094537,0
28.11569228,28.91648506,3.876884015,4.123439047,0.5317904373,0.8908013001,21.14547271,0.6760425735,0
23.38687344,37.6646165,6.610251288,-2.029618801,0.1707460222,1.418385176,29.72297667,0.8577103669,0
24.66662362,28.89487606,3.691067797,3.9985114,0.5566988101,0.7402889862,26.17154068,0.6238198774,0
